enroll,sem,subject,marks,total,percentage,CGPA,creditsEarned,resultStatus
23IT001,1,Math,65,185,61.67,6.5,20,Pass
23IT001,1,Physics,58,185,61.67,6.5,20,Pass
23IT001,1,Chemistry,62,185,61.67,6.5,20,Pass

23IT002,1,Math,72,205,68.33,7.2,20,Pass
23IT002,1,Physics,68,205,68.33,7.2,20,Pass
23IT002,1,Chemistry,65,205,68.33,7.2,20,Pass

23IT003,1,Math,38,128,42.67,4.2,10,Fail
23IT003,1,Physics,45,128,42.67,4.2,10,Fail
23IT003,1,Chemistry,45,128,42.67,4.2,10,Fail

23IT004,1,Math,90,268,89.33,9.4,20,Pass
23IT004,1,Physics,92,268,89.33,9.4,20,Pass
23IT004,1,Chemistry,86,268,89.33,9.4,20,Pass

23IT005,1,Math,55,170,56.67,5.9,20,Pass
23IT005,1,Physics,60,170,56.67,5.9,20,Pass
23IT005,1,Chemistry,55,170,56.67,5.9,20,Pass

23IT006,1,Math,48,150,50.0,5.1,20,Pass
23IT006,1,Physics,52,150,50.0,5.1,20,Pass
23IT006,1,Chemistry,50,150,50.0,5.1,20,Pass

23IT007,1,Math,74,212,70.67,7.4,20,Pass
23IT007,1,Physics,70,212,70.67,7.4,20,Pass
23IT007,1,Chemistry,68,212,70.67,7.4,20,Pass

23IT008,1,Math,84,252,84.0,8.8,20,Pass
23IT008,1,Physics,85,252,84.0,8.8,20,Pass
23IT008,1,Chemistry,83,252,84.0,8.8,20,Pass

23IT009,1,Math,41,125,41.67,4.3,15,Pass
23IT009,1,Physics,40,125,41.67,4.3,15,Pass
23IT009,1,Chemistry,44,125,41.67,4.3,15,Pass

23IT010,1,Math,33,105,35.0,3.1,0,Fail
23IT010,1,Physics,36,105,35.0,3.1,0,Fail
23IT010,1,Chemistry,36,105,35.0,3.1,0,Fail
